transaction_id,expected_amount,actual_amount,discrepancy_flag
T1,62.91,62.91,False
T2,116.99,116.99,False
T3,16.79,16.79,False
T4,137.48,137.48,False
T5,975.12,975.12,False
T6,49.05,49.05,False
T7,583.44,583.44,False
T8,1076.41,0.0,True
T9,938.81,938.81,False
T10,48.89,48.89,False
T11,919.37,729.71,True
T12,202.81,202.81,False
T13,755.4,755.4,False
T14,476.67,476.67,False
T15,111.3,71.37,True
T16,745.03,745.03,False
T17,775.23,775.23,False
T18,675.49,675.49,False
T19,77.33,77.33,False
T20,473.64,473.64,False
T21,910.59,0.0,True
T22,627.29,627.29,False
T23,137.19,137.19,False
T24,294.1,294.1,False
T25,928.29,928.29,False
T26,110.25,110.25,False
T27,627.48,627.48,False
T28,140.08,140.08,False
T29,257.78,257.78,False
T30,655.99,655.99,False
T31,417.41,417.41,False
T32,245.93,245.93,False
T33,418.32,418.32,False
T34,747.46,747.46,False
T35,46.33,46.33,False
T36,1321.75,0.0,True
T37,25.7,25.7,False
T38,448.65,448.65,False
T39,505.0,505.0,False
T40,571.86,730.4,True
T41,603.9,603.9,False
T42,17.37,17.37,False
T43,983.65,983.65,False
T44,312.18,458.83,True
T45,1555.51,1555.51,False
T46,2261.87,2261.87,False
T47,9.28,9.28,False
T48,308.52,308.52,False
T49,467.57,467.57,False
T50,461.13,461.13,False
T51,151.21,0.0,True
T52,791.95,791.95,False
T53,26.7,26.7,False
T54,310.71,0.0,True
T55,538.86,538.86,False
T56,479.83,479.83,False
T57,82.05,82.05,False
T58,86.11,86.11,False
T59,1.17,1.17,False
T60,112.49,112.49,False
T61,1587.64,1587.64,False
T62,415.63,0.0,True
T63,74.19,0.0,True
T64,496.34,496.34,False
T65,603.0,0.0,True
T66,999.13,999.13,False
T67,120.46,120.46,False
T68,792.59,0.0,True
T69,1718.01,1718.01,False
T70,78.33,78.33,False
T71,562.0,562.0,False
T72,177.85,177.85,False
T73,195.96,195.96,False
T74,234.49,234.49,False
T75,649.48,649.48,False
T76,39.63,39.63,False
T77,161.3,161.3,False
T78,435.45,435.45,False
T79,1057.77,1057.77,False
T80,1748.58,1748.58,False
T81,57.06,57.06,False
T82,292.82,292.82,False
T83,478.18,478.18,False
