case_id,transaction_id,issue_type,status,resolution_time_hours
C1,T8,refund,resolved,44
C2,T13,duplicate,resolved,60
C3,T16,duplicate,resolved,50
C4,T21,duplicate,resolved,29
C5,T22,refund,resolved,17
C6,T25,failed_payment,resolved,50
C7,T36,duplicate,resolved,2
C8,T46,pending_payment,resolved,39
C9,T51,failed_payment,resolved,10
C10,T54,duplicate,resolved,72
C11,T62,refund,resolved,11
C12,T63,failed_payment,resolved,24
C13,T65,duplicate,resolved,44
C14,T68,duplicate,resolved,28
C15,T85,failed_payment,resolved,29
C16,T101,refund,resolved,67
C17,T107,failed_payment,resolved,46
C18,T109,refund,resolved,19
C19,T110,pending_payment,resolved,68
C20,T111,failed_payment,resolved,28
C21,T117,refund,resolved,6
C22,T120,duplicate,resolved,43
C23,T138,pending_payment,resolved,22
C24,T140,pending_payment,resolved,57
C25,T143,pending_payment,resolved,38
C26,T154,failed_payment,resolved,24
C27,T162,failed_payment,resolved,11
C28,T169,pending_payment,resolved,6
C29,T172,duplicate,resolved,48
C30,T173,refund,resolved,58
C31,T178,pending_payment,resolved,68
C32,T184,failed_payment,resolved,12
C33,T194,pending_payment,resolved,9
C34,T216,failed_payment,resolved,29
C35,T227,pending_payment,resolved,2
C36,T231,failed_payment,resolved,63
C37,T237,failed_payment,resolved,11
C38,T239,duplicate,resolved,44
C39,T240,duplicate,resolved,34
C40,T241,pending_payment,resolved,13
C41,T242,failed_payment,resolved,71
C42,T249,refund,resolved,59
C43,T253,duplicate,resolved,13
C44,T254,refund,resolved,39
C45,T259,duplicate,resolved,32
C46,T262,duplicate,resolved,7
C47,T263,refund,resolved,55
C48,T271,refund,resolved,23
C49,T274,duplicate,resolved,28
C50,T277,refund,resolved,54
C51,T280,pending_payment,resolved,42
C52,T293,failed_payment,resolved,9
C53,T302,failed_payment,resolved,70
C54,T306,pending_payment,resolved,5
C55,T308,duplicate,resolved,69
C56,T316,duplicate,resolved,41
C57,T320,pending_payment,resolved,66
C58,T322,failed_payment,resolved,71
C59,T325,failed_payment,resolved,26
C60,T333,pending_payment,resolved,51
C61,T338,duplicate,resolved,54
C62,T342,failed_payment,resolved,38
C63,T344,failed_payment,resolved,29
C64,T346,pending_payment,resolved,44
C65,T348,pending_payment,resolved,44
C66,T358,failed_payment,resolved,35
C67,T375,failed_payment,resolved,34
C68,T382,pending_payment,resolved,14
C69,T383,pending_payment,resolved,6
C70,T395,duplicate,resolved,49
C71,T397,duplicate,open,0
C72,T406,refund,resolved,34
C73,T422,refund,resolved,52
C74,T423,pending_payment,resolved,4
C75,T426,failed_payment,resolved,47
C76,T449,refund,resolved,68
C77,T455,pending_payment,resolved,68
C78,T464,pending_payment,resolved,27
C79,T466,failed_payment,resolved,2
C80,T468,failed_payment,resolved,23
C81,T469,pending_payment,resolved,59
C82,T471,duplicate,resolved,54
C83,T477,failed_payment,resolved,69
C84,T485,failed_payment,resolved,53
C85,T487,refund,resolved,21
C86,T509,refund,resolved,63
C87,T513,refund,resolved,23
C88,T514,refund,resolved,11
C89,T519,pending_payment,resolved,3
C90,T528,pending_payment,resolved,38
C91,T530,refund,resolved,21
C92,T532,duplicate,resolved,62
C93,T537,pending_payment,resolved,68
C94,T541,refund,resolved,26
C95,T542,duplicate,resolved,62
C96,T545,duplicate,resolved,49
C97,T556,pending_payment,resolved,38
C98,T563,refund,resolved,65
C99,T573,failed_payment,resolved,8
C100,T574,duplicate,resolved,1
C101,T583,failed_payment,resolved,9
C102,T594,pending_payment,resolved,69
C103,T597,pending_payment,resolved,47
C104,T616,failed_payment,resolved,72
C105,T620,duplicate,resolved,55
C106,T637,pending_payment,resolved,51
C107,T638,pending_payment,resolved,30
C108,T642,refund,resolved,46
C109,T646,duplicate,resolved,18
C110,T647,refund,resolved,42
C111,T648,duplicate,resolved,33
C112,T656,duplicate,resolved,35
C113,T684,pending_payment,resolved,46
C114,T694,failed_payment,resolved,9
C115,T702,refund,resolved,40
C116,T703,duplicate,resolved,59
C117,T704,failed_payment,resolved,57
C118,T708,duplicate,resolved,40
C119,T717,refund,resolved,12
C120,T718,failed_payment,resolved,47
C121,T724,pending_payment,resolved,6
C122,T726,refund,resolved,55
C123,T732,pending_payment,resolved,72
C124,T733,pending_payment,resolved,44
C125,T740,failed_payment,resolved,36
C126,T743,refund,resolved,20
C127,T744,pending_payment,resolved,8
C128,T750,pending_payment,resolved,25
C129,T761,failed_payment,resolved,63
C130,T778,pending_payment,resolved,39
C131,T792,refund,resolved,42
C132,T802,refund,resolved,69
C133,T810,duplicate,resolved,69
C134,T811,duplicate,resolved,47
C135,T813,pending_payment,resolved,44
C136,T816,refund,resolved,69
C137,T822,refund,resolved,40
C138,T826,failed_payment,open,0
C139,T831,pending_payment,resolved,6
C140,T832,duplicate,resolved,59
C141,T833,pending_payment,resolved,49
C142,T834,pending_payment,resolved,49
C143,T835,pending_payment,resolved,8
C144,T838,duplicate,open,0
C145,T850,failed_payment,resolved,57
C146,T855,refund,resolved,1
C147,T868,pending_payment,resolved,37
C148,T871,pending_payment,resolved,66
C149,T877,refund,resolved,37
C150,T881,duplicate,resolved,28
C151,T885,failed_payment,resolved,15
C152,T890,duplicate,resolved,30
C153,T905,pending_payment,resolved,29
C154,T913,duplicate,resolved,35
C155,T918,failed_payment,resolved,71
C156,T926,duplicate,resolved,50
C157,T936,failed_payment,resolved,54
C158,T940,failed_payment,resolved,64
C159,T944,duplicate,resolved,22
C160,T945,duplicate,resolved,58
C161,T948,failed_payment,resolved,35
C162,T957,refund,resolved,19
C163,T966,failed_payment,resolved,7
C164,T974,refund,resolved,33
C165,T978,pending_payment,resolved,55
C166,T983,failed_payment,resolved,35
C167,T1003,duplicate,resolved,70
C168,T1007,failed_payment,resolved,39
C169,T1009,pending_payment,resolved,54
C170,T1043,refund,resolved,67
C171,T1047,refund,resolved,29
C172,T1048,refund,resolved,10
C173,T1049,pending_payment,resolved,64
C174,T1063,pending_payment,resolved,39
C175,T1064,duplicate,resolved,29
C176,T1079,duplicate,resolved,41
C177,T1090,failed_payment,resolved,4
C178,T1107,failed_payment,resolved,13
C179,T1119,pending_payment,resolved,15
C180,T1126,failed_payment,resolved,27
C181,T1134,failed_payment,resolved,57
C182,T1137,pending_payment,resolved,19
C183,T1142,duplicate,resolved,45
C184,T1162,duplicate,resolved,64
C185,T1165,failed_payment,resolved,5
C186,T1167,failed_payment,resolved,35
C187,T1171,refund,resolved,7
C188,T1176,pending_payment,open,0
C189,T1199,duplicate,resolved,59
C190,T1208,failed_payment,resolved,64
C191,T1216,pending_payment,resolved,5
C192,T1221,duplicate,resolved,72
C193,T1231,refund,resolved,23
C194,T1242,duplicate,resolved,29
C195,T1258,failed_payment,resolved,65
C196,T1260,failed_payment,resolved,8
C197,T1261,refund,resolved,45
C198,T1265,pending_payment,resolved,14
