transaction_id,user_id,account_id,payment_type,amount,status,timestamp
T1,U219,A734,Wire,62.91,completed,2026-02-01 03:38:53
T2,U2721,A1757,Wire,116.99,completed,2026-02-27 17:52:10
T3,U2859,A2751,Card,16.79,completed,2026-02-03 19:27:10
T4,U1713,A1747,Card,137.48,completed,2026-02-06 20:51:52
T5,U2981,A1625,Wire,975.12,completed,2026-02-07 05:08:20
T6,U2788,A688,ACH,49.05,completed,2026-02-14 12:11:47
T7,U678,A78,ACH,583.44,completed,2026-02-08 14:57:04
T8,U701,A1167,Wire,1076.41,failed,2026-02-12 06:00:36
T9,U1405,A187,ACH,938.81,completed,2026-02-06 17:19:30
T10,U105,A1982,Wire,48.89,completed,2026-02-20 09:16:47
T11,U372,A2610,Card,919.37,completed,2026-02-04 02:27:15
T12,U2913,A2771,Card,202.81,pending,2026-02-26 06:45:10
T13,U2705,A922,Card,755.4,completed,2026-02-22 10:21:01
T14,U1481,A2323,Wire,476.67,completed,2026-02-02 15:50:48
T15,U2924,A2526,Card,111.3,completed,2026-02-22 07:39:49
T16,U2572,A1612,ACH,745.03,completed,2026-02-26 20:06:57
T17,U2894,A606,ACH,775.23,pending,2026-02-05 11:19:30
T18,U1918,A1884,Card,675.49,completed,2026-02-17 04:18:45
T19,U1626,A1427,Wire,77.33,completed,2026-02-19 04:08:57
T20,U1043,A2025,ACH,473.64,completed,2026-02-03 12:04:15
T21,U577,A2078,Wire,910.59,failed,2026-02-15 16:03:39
T22,U398,A2413,Wire,627.29,completed,2026-02-11 20:32:22
T23,U2104,A2074,Card,137.19,completed,2026-02-26 14:16:39
T24,U2040,A1741,Card,294.1,completed,2026-02-05 05:44:40
T25,U2730,A1415,Card,928.29,completed,2026-02-22 06:49:37
T26,U2643,A1800,ACH,110.25,completed,2026-02-27 02:03:37
T27,U2316,A2780,ACH,627.48,completed,2026-02-23 04:04:10
T28,U1154,A176,Wire,140.08,completed,2026-02-12 03:51:30
T29,U407,A2342,Card,257.78,completed,2026-02-02 20:15:16
T30,U622,A1276,ACH,655.99,completed,2026-02-09 03:45:31
T31,U2878,A1784,Wire,417.41,completed,2026-02-21 06:17:13
T32,U456,A1815,Card,245.93,completed,2026-02-17 16:59:19
T33,U980,A320,ACH,418.32,completed,2026-02-09 22:05:26
T34,U2092,A653,ACH,747.46,completed,2026-02-14 06:36:33
T35,U555,A844,ACH,46.33,completed,2026-02-08 05:48:16
T36,U1148,A2291,Wire,1321.75,failed,2026-02-26 09:10:12
T37,U2053,A1921,ACH,25.7,completed,2026-02-23 23:56:04
T38,U2659,A2973,Wire,448.65,completed,2026-02-17 00:25:24
T39,U557,A551,Card,505.0,completed,2026-02-05 03:15:50
T40,U413,A762,Card,571.86,completed,2026-02-10 20:21:38
T41,U1165,A2962,Wire,603.9,completed,2026-02-04 12:05:26
T42,U2345,A1629,ACH,17.37,completed,2026-02-09 20:42:43
T43,U544,A1064,ACH,983.65,completed,2026-02-15 06:39:33
T44,U123,A2670,Card,312.18,completed,2026-02-13 12:52:54
T45,U2043,A2482,Wire,1555.51,completed,2026-02-09 04:58:01
T46,U1276,A2774,Wire,2261.87,completed,2026-02-13 04:54:27
T47,U724,A2828,ACH,9.28,completed,2026-02-19 09:39:28
T48,U485,A124,Card,308.52,completed,2026-02-08 15:18:46
T49,U1394,A82,Card,467.57,completed,2026-02-23 18:58:25
T50,U2633,A2175,Wire,461.13,completed,2026-02-27 23:07:11
T51,U998,A1912,Wire,151.21,failed,2026-02-07 13:51:23
T52,U641,A7,Card,791.95,completed,2026-02-06 05:12:55
T53,U1704,A1914,Card,26.7,completed,2026-02-11 21:08:43
T54,U2143,A471,ACH,310.71,failed,2026-02-13 02:33:32
T55,U2659,A2960,Wire,538.86,completed,2026-02-13 03:00:21
T56,U1747,A1591,Wire,479.83,completed,2026-02-20 00:20:56
T57,U2632,A214,Wire,82.05,completed,2026-02-12 09:49:21
T58,U1248,A1936,Card,86.11,completed,2026-02-13 14:04:46
T59,U1721,A2099,Wire,1.17,completed,2026-02-22 17:03:13
T60,U501,A2898,Wire,112.49,completed,2026-02-28 14:58:58
T61,U2796,A2285,Card,1587.64,completed,2026-02-26 23:46:24
T62,U1978,A2574,ACH,415.63,failed,2026-02-28 06:58:11
T63,U1065,A1505,Wire,74.19,failed,2026-02-18 02:40:52
T64,U1439,A30,Card,496.34,pending,2026-02-22 20:01:11
T65,U120,A196,ACH,603.0,failed,2026-02-20 14:23:04
T66,U612,A2730,Card,999.13,completed,2026-02-05 05:56:57
T67,U1263,A1063,Wire,120.46,completed,2026-02-12 07:05:35
T68,U1021,A1687,Wire,792.59,failed,2026-02-27 12:54:47
T69,U594,A2761,Card,1718.01,completed,2026-02-06 21:14:18
T70,U994,A2063,Card,78.33,completed,2026-02-15 06:31:06
T71,U518,A1787,ACH,562.0,completed,2026-02-11 10:33:22
T72,U979,A1191,Wire,177.85,completed,2026-02-09 04:58:13
T73,U2036,A2129,ACH,195.96,completed,2026-02-19 09:07:13
T74,U124,A1302,Card,234.49,completed,2026-02-04 09:14:49
T75,U295,A736,Wire,649.48,completed,2026-02-19 19:20:52
T76,U2771,A2868,Card,39.63,completed,2026-02-01 08:34:06
T77,U2521,A2364,Card,161.3,completed,2026-02-26 08:18:57
T78,U2867,A1028,Wire,435.45,pending,2026-02-04 13:21:27
T79,U2909,A716,Card,1057.77,completed,2026-02-23 12:09:34
T80,U763,A789,Wire,1748.58,completed,2026-02-07 02:22:25
T81,U2650,A25,Card,57.06,completed,2026-02-23 01:05:19
T82,U1526,A1442,Wire,292.82,completed,2026-02-28 12:49:05
T83,U293,A579,Wire,478.18,completed,2026-02-16 02:17:01
T84,U1429,A2428,ACH,1895.71,pending,2026-02-06 07:35:45
T85,U366,A2120,Card,241.33,failed,2026-02-24 10:58:20
T86,U922,A1189,ACH,67.72,completed,2026-02-17 09:40:17
T87,U1699,A2791,ACH,172.63,completed,2026-02-28 21:30:04
T88,U150,A1528,ACH,1103.9,completed,2026-02-20 18:56:03
T89,U1318,A1897,Wire,140.97,completed,2026-02-23 13:28:54
T90,U935,A1485,Card,558.54,completed,2026-02-11 02:27:36
T91,U527,A2928,Wire,879.0,completed,2026-02-24 18:20:36
T92,U869,A2716,Wire,627.9,completed,2026-02-01 17:17:15
T93,U2160,A20,Wire,112.86,completed,2026-02-18 05:23:18
T94,U1360,A2390,Card,359.75,pending,2026-02-04 09:56:19
T95,U137,A498,Wire,562.57,completed,2026-02-16 05:59:43
T96,U1344,A2831,Card,457.34,completed,2026-02-14 12:00:33
T97,U2219,A1107,ACH,445.36,completed,2026-02-05 18:26:21
T98,U764,A2475,Card,265.07,completed,2026-02-18 20:07:15
T99,U2391,A341,Card,169.98,completed,2026-02-05 04:53:56
T100,U778,A2776,Card,505.06,completed,2026-02-06 10:46:43
T101,U2118,A2829,Card,339.03,failed,2026-02-08 19:42:09
T102,U2337,A2067,Wire,1035.3,completed,2026-02-19 08:31:56
T103,U2450,A2987,Card,538.1,completed,2026-02-18 23:13:50
T104,U232,A1761,Card,330.55,completed,2026-02-18 17:58:20
T105,U2275,A706,ACH,387.13,completed,2026-02-14 11:32:35
T106,U1198,A1899,Card,348.88,completed,2026-02-04 23:47:44
T107,U1949,A2059,Card,133.21,completed,2026-02-06 09:43:02
T108,U2760,A2161,ACH,342.13,completed,2026-02-26 00:33:02
T109,U2439,A1707,Card,671.58,failed,2026-02-08 11:46:07
T110,U2056,A2340,ACH,94.56,failed,2026-02-28 09:37:56
T111,U1759,A324,Card,78.95,failed,2026-02-20 01:33:33
T112,U1772,A447,ACH,2223.5,completed,2026-02-01 15:18:39
